Субъект РФ;Год;Валовый региональный продукт: всего (млн. руб.);Валовый региональный продукт: на душу населения (руб.)
Центральный федеральный округ;2000;1841498.9;48205
Белгородская область;2000;42074.5;27969.5
Брянская область;2000;24650.5;17413.5
Владимирская область;2000;33017.7;21073.3
Воронежская область;2000;49523.9;20365.1
Ивановская область;2000;16900;14240
Калужская область;2000;23903.3;22438
Костромская область;2000;16662.2;21984.7
Курская область;2000;30167.7;23677.7
Липецкая область;2000;48067.7;39050.9
Московская область;2000;176693.6;26687.7
Орловская область;2000;22160.8;25168.4
Рязанская область;2000;27956.5;22070.3
Смоленская область;2000;28140.6;25798.1
Тамбовская область;2000;23387.3;19133.8
Тверская область;2000;35341.1;23073.1
Тульская область;2000;42061.3;24291.8
Ярославская область;2000;41756.2;29828
г. Москва;2000;1159034;115630.5
Северо-Западный федеральный округ;2000;578504.7;40564.9
Республика Карелия;2000;28214.6;38539.2
Республика Коми;2000;59473.1;56619.5
Архангельская область;2000;61806.9;44797.4
в том числе: ;2000;0;0
Ненецкий автономный округ;2000;11924;0
Архангельская область без автономного округа;2000;0;0
Вологодская область;2000;69195.5;53432.8
Калининградская область;2000;23290.3;24308.8
Ленинградская область;2000;56001.9;33265.1
Мурманская область;2000;55135;59157.8
Новгородская область;2000;20965.5;29347
Псковская область;2000;16178.9;20544.7
г. Санкт-Петербург;2000;188243;39811.1
Южный             федеральный округ;2000;329695.3;23417.9
Республика Адыгея;2000;5519.6;12315.1
Республика Калмыкия;2000;6212.6;20183.7
Республика Крым;2000;0;0
Краснодарский край;2000;137125.3;26713.9
Астраханская область;2000;28115.7;27815.3
Волгоградская область;2000;63767.1;23340.8
Ростовская область;2000;88955;20003.8
г. Севастополь;2000;0;0
Северо-Кавказский        федеральный округ;2000;105178;13802.7
Республика Дагестан;2000;20921.1;8489.7
Республика Ингушетия;2000;2618.5;6667.9
Кабардино-Балкарская Республика;2000;14081.3;15948.9
Карачаево-Черкесская Республика;2000;5461.5;12404.2
Республика Северная Осетия - Алания;2000;8363.2;11964.5
Чеченская Республика;2000;0;0
Ставропольский край;2000;53732.4;19603.9
Приволжский федеральный округ;2000;1036789;32791.7
Республика Башкортостан;2000;145125;35245.9
Республика Марий Эл;2000;11207.6;15114.8
Республика Мордовия;2000;17553.4;19219.8
Республика Татарстан;2000;186154.4;49139.3
Удмуртская Республика;2000;53307.4;33488.8
Чувашская Республика;2000;22995.1;17276.5
Пермский край;2000;124142.2;43273.2
Кировская область;2000;35795.4;23165.6
Нижегородская область ;2000;105055.9;29090.1
Оренбургская область;2000;76343.3;34585.2
Пензенская область;2000;25218.7;16900.3
Самарская область;2000;140407.4;42758.9
Саратовская область;2000;63068.2;23315.4
Ульяновская область;2000;30415;21411.5
Уральский         федеральный округ;2000;866133.4;69327.3
Курганская область;2000;18705.2;17758.7
Свердловская область ;2000;156077;34214.7
Тюменская область;2000;570790.2;176917.9
в том числе:;2000;0;0
Ханты-Мансийский автономный округ - Югра;2000;403822.2;0
Ямало-Ненецкий автономный округ;2000;117100.8;0
Тюменская область  без автономных округов;2000;0;0
Челябинская область;2000;120561;33012.3
Сибирский        федеральный округ;2000;635471.7;34893
Республика Алтай;2000;2737.5;13505.1
Республика Тыва;2000;3594.1;11749.3
Республика Хакасия;2000;17418.1;31333.2
Алтайский край;2000;46736.8;17660.5
Красноярский край;2000;214662.7;71281
Иркутская область;2000;103013.8;39115.2
Кемеровская область;2000;88728.1;30047.8
Новосибирская область ;2000;72012.7;26472.3
Омская область;2000;46028.4;21643.1
Томская область;2000;40539.5;38386
Дальневосточный федеральный округ;2000;360400.6;39782
Республика Бурятия;2000;21574.5;21555.1
Республика Саха (Якутия);2000;81960.4;85375.5
Забайкальский край;2000;30024.6;25320.1
Камчатский край;2000;18140.7;49108.7
Приморский край;2000;62088.5;29139.9
Хабаровский край ;2000;64794.8;44171.2
Амурская область;2000;26315.2;28317.2
Магаданская область;2000;13009.5;65704.6
Сахалинская область;2000;34777;61595.8
Еврейская автономная область;2000;3784;19484.8
Чукотский автономный округ;2000;3931.4;65963
Центральный федеральный округ;2001;2243525;58851.5
Белгородская область;2001;49941.8;33126.7
Брянская область;2001;30110.3;21511.9
Владимирская область;2001;42075.4;27170
Воронежская область;2001;60014.6;24905.4
Ивановская область;2001;22175.9;18947.2
Калужская область;2001;31860;30201.9
Костромская область;2001;22221.5;29668.3
Курская область;2001;36399.8;28946.1
Липецкая область;2001;50574.1;41308.6
Московская область;2001;235159.6;35569.3
Орловская область;2001;27624.8;31676.1
Рязанская область;2001;37054.3;29645.8
Смоленская область;2001;36016.3;33575.4
Тамбовская область;2001;31086.6;25830.2
Тверская область;2001;46986.4;31209.8
Тульская область;2001;52891.2;30988.5
Ярославская область;2001;61149.6;44116.3
г. Москва;2001;1370182.8;134435.8
Северо-Западный федеральный округ;2001;709025.1;50157.8
Республика Карелия;2001;33721.2;46499.2
Республика Коми;2001;78276.5;75534.6
Архангельская область;2001;67274.7;49474
в том числе: ;2001;0;0
Ненецкий автономный округ;2001;11883.5;0
Архангельская область без автономного округа;2001;0;0
Вологодская область;2001;65425.3;50934.4
Калининградская область;2001;32327.2;33797.4
Ленинградская область;2001;75858.6;45248.2
Мурманская область;2001;57569.3;62965.4
Новгородская область;2001;27501;38975.3
Псковская область;2001;19416.9;25031.4
г. Санкт-Петербург;2001;251654.4;53525.3
Южный             федеральный округ;2001;426507.8;30388.9
Республика Адыгея;2001;6641.8;14858.6
Республика Калмыкия;2001;6732;22261.8
Республика Крым;2001;0;0
Краснодарский край;2001;179177.5;34912.4
Астраханская область;2001;32274.3;32037.2
Волгоградская область;2001;82919.7;30513.2
Ростовская область;2001;118762.5;26817.8
г. Севастополь;2001;0;0
Северо-Кавказский        федеральный округ;2001;142442.1;18408.8
Республика Дагестан;2001;31544;12562.3
Республика Ингушетия;2001;3604.3;8000.7
Кабардино-Балкарская Республика;2001;19443.3;21834.2
Карачаево-Черкесская Республика;2001;7324.8;16639.7
Республика Северная Осетия - Алания;2001;12665.3;17914.2
Чеченская Республика;2001;0;0
Ставропольский край;2001;67860.4;24780.1
Приволжский федеральный округ;2001;1292756.5;41139.5
Республика Башкортостан;2001;166974.8;40609.7
Республика Марий Эл;2001;15087.8;20502.6
Республика Мордовия;2001;22089.5;24473.2
Республика Татарстан;2001;213740;56479.2
Удмуртская Республика;2001;65551.4;41407
Чувашская Республика;2001;30778.5;23253.6
Пермский край;2001;166803.4;58570.7
Кировская область;2001;41699;27297.1
Нижегородская область ;2001;149322.6;41773.2
Оренбургская область;2001;85168.3;38769.3
Пензенская область;2001;33262.6;22547.8
Самарская область;2001;180049.3;55147
Саратовская область;2001;83665.7;31094.4
Ульяновская область;2001;38563.6;27453.2
Уральский         федеральный округ;2001;1120819.8;90065.5
Курганская область;2001;25379.6;24429.3
Свердловская область ;2001;199859.1;44119
Тюменская область;2001;753119.2;232236.3
в том числе:;2001;0;0
Ханты-Мансийский автономный округ - Югра;2001;497981.4;0
Ямало-Ненецкий автономный округ;2001;184315.9;0
Тюменская область  без автономных округов;2001;0;0
Челябинская область;2001;142461.9;39216.5
Сибирский        федеральный округ;2001;778927.9;43055.2
