Субъекты РФ;Год;Экспорт (млн. дол. США);Импорт (млн. дол. США)
Центральный федеральный округ;2000;103092.8;33880.1
Белгородская область;2000;32260.9;15546.3
Брянская область;2000;536.4;576.8
Владимирская область;2000;80.7;131
Воронежская область;2000;101.1;147.3
Ивановская область;2000;182.4;168.2
Калужская область;2000;65.7;198.4
Костромская область;2000;84.8;127.7
Курская область;2000;69.8;19.3
Липецкая область;2000;111.1;179.9
Московская область;2000;1053.6;161
Орловская область;2000;2079.8;2109.3
Рязанская область;2000;83.3;121.4
Смоленская область;2000;788;64.5
Тамбовская область;2000;412.3;107.3
Тверская область;2000;32.8;45.4
Тульская область;2000;105;174.2
Ярославская область;2000;651.5;139.9
г. Москва;2000;869.5;191.9
Северо-Западный федеральный округ;2000;24953.1;10882.8
Республика Карелия;2000;10005.1;4666.5
Республика Коми;2000;538.8;157.8
Архангельская область;2000;1121.5;138
в том числе: ;2000;769.6;104
Ненецкий автономный округ;2000;0;0
Архангельская область без автономного округа;2000;0;0
Вологодская область;2000;0;0
Калининградская область;2000;1518.2;126.8
Ленинградская область;2000;441.6;809
Мурманская область;2000;2098.6;460
Новгородская область;2000;592.6;130.3
Псковская область;2000;271.6;64.4
г. Санкт-Петербург;2000;108.2;77.6
Южный             федеральный округ;2000;2544.4;2598.6
Республика Адыгея;2000;3023.1;1452.3
Республика Калмыкия;2000;2.5;7.9
Республика Крым;2000;196.2;47.4
Краснодарский край;2000;0;0
Астраханская область;2000;995.7;571.7
Волгоградская область;2000;249.7;53
Ростовская область;2000;869.8;252.7
г. Севастополь;2000;709.2;519.6
Северо-Кавказский        федеральный округ;2000;0;0
Республика Дагестан;2000;558.3;298.5
Республика Ингушетия;2000;132.9;23.5
Кабардино-Балкарская Республика;2000;72.6;91.6
Карачаево-Черкесская Республика;2000;9;14.2
Республика Северная Осетия - Алания;2000;5.1;4.5
Чеченская Республика;2000;67.1;67.4
Ставропольский край;2000;0;0
Приволжский федеральный округ;2000;271.6;97.3
