Субъекты РФ;Год;ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ (тыс. чел);Естественный прирост населения (чел.);Миграционный прирост населения (чел.)
Центральный федеральный округ;2000;38175.1;-114525.3;313035.82
Белгородская область;2000;1507;1507;16426.3
Брянская область;2000;1407.9;-16894.8;-563.16
Владимирская область;2000;1558;-18696;623.2
Воронежская область;2000;2422.4;-24224;6056
Ивановская область;2000;1179;-17685;471.6
Калужская область;2000;1060.3;-10603;1272.36
Костромская область;2000;754;-9802;226.2
Курская область;2000;1266.4;-17729.6;-2026.24
Липецкая область;2000;1228.1;-7368.6;5158.02
Московская область;2000;6613.5;-6613.5;50262.6
Орловская область;2000;876.7;-8767;1052.04
Рязанская область;2000;1258.8;-17623.2;-125.88
Смоленская область;2000;1082.2;-18397.4;-3030.16
Тамбовская область;2000;1213.6;-20631.2;-3883.52
Тверская область;2000;1519.6;-28872.4;-2583.32
Тульская область;2000;1719.7;-25795.5;859.85
Ярославская область;2000;1393.7;-15330.7;2648.03
г. Москва;2000;10114.2;151713;241729.38
Северо-Западный  федеральный округ;2000;14198.9;-127790.1;-283.978
Республика Карелия;2000;728.8;-7288;-947.44
Республика Коми;2000;1042.9;-13557.7;-11263.32
Архангельская область;2000;1369.1;-19167.4;-10678.98
Ненецкий автономный округ;2000;40.9;-40.9;-253.58
Архангельская область без автономного округа;2000;1328.2;-11953.8;-10492.78
Вологодская область;2000;1290.4;-11613.6;129.04
Калининградская область;2000;957.5;-1915;5745
Ленинградская область;2000;1680.4;-8402;13947.32
Мурманская область;2000;922.9;-17535.1;-15227.85
Новгородская область;2000;710.3;-9233.9;710.3
Псковская область;2000;781.8;-12508.8;312.72
г. Санкт-Петербург;2000;4714.8;-28288.8;17444.76
Южный                 федеральный округ;2000;14061.4;-56245.6;54839.46
Республика Адыгея;2000;447.3;-894.6;894.6
Республика Калмыкия;2000;307.3;-9833.6;-1106.28
Республика Крым;2000;0;0;0
Краснодарский край;2000;5132.8;-1026.56;31310.08
Астраханская область;2000;1009.3;-4037.2;1312.09
Волгоградская область;2000;2725.4;-16352.4;6268.42
Ростовская область;2000;4439.3;-22196.5;16869.34
г. Севастополь;2000;0;0;0
Северо-Кавказский     федеральный округ;2000;8700.5;147908.5;30451.75
Республика Дагестан;2000;2486;49720;21379.6
Республика Ингушетия ;2000;445.4;10244.2;112374.42
Кабардино-Балкарская Республика;2000;886.7;7980.3;7359.61
Карачаево-Черкесская Республика;2000;440.6;-881.2;925.26
Республика Северная Осетия – Алания;2000;704.4;4930.8;12327
Чеченская Республика ;2000;996.5;76730.5;-116590.5
Ставропольский край;2000;2740.9;-5481.8;12608.14
Приволжский федеральный округ;2000;31531.4;-220719.8;34684.54
Республика Башкортостан;2000;4115.2;-8230.4;7407.36
Республика Марий Эл;2000;739.1;-6651.9;-443.46
Республика Мордовия;2000;908.2;-10898.4;-2542.96
Республика Татарстан;2000;3786.8;-3786.8;11360.4
Удмуртская Республика;2000;1588;-9528;-1905.6
Чувашская Республика;2000;1327.7;-7966.2;-132.77
Пермский край;2000;2858.6;-22868.8;-1715.16
Кировская область;2000;1536.8;-18441.6;-3534.64
Нижегородская область ;2000;3594.5;-39539.5;3953.95
Оренбургская область;2000;2203.6;-13221.6;2644.32
Пензенская область;2000;1484.1;-17809.2;-1929.33
Самарская область;2000;3275.8;-22930.6;12448.04
Саратовская область;2000;2699.4;-16196.4;11067.54
Ульяновская область;2000;1413.6;-18376.8;-3251.28
Уральский       федеральный округ;2000;12471.3;-49885.2;19954.08
Курганская область;2000;1047.1;-16753.6;-5340.21
Свердловская область ;2000;4545.9;-31821.3;5455.08
Тюменская область;2000;3234.3;16171.5;11966.91
Ханты-Мансийский автономный округ – Югра;2000;1383.4;29051.4;17845.86
Ямало-Ненецкий автономный округ;2000;498.3;4983;-1096.26
Тюменская область без автономных округов;2000;1352.6;-16231.2;-4734.1
Челябинская область;2000;3644;-21864;8016.8
Сибирский        федеральный округ;2000;18157.3;-145258.4;-12710.11
Республика Алтай;2000;203;-81.2;324.8
Республика Тыва;2000;305.7;-611.4;-1131.09
Республика Хакасия;2000;554.4;-4989.6;-609.84
Алтайский край;2000;2641.1;-21128.8;2641.1
Красноярский край;2000;3000.9;-18005.4;-4801.44
Иркутская область;2000;2623.2;-23608.8;-8131.92
Кемеровская область;2000;2942.3;-23538.4;1471.15
Новосибирская область ;2000;2715.1;-10860.4;4887.18
Омская область;2000;2117.3;-23290.3;-8469.2
Томская область;2000;1054.3;-4217.2;316.29
Дальневосточный федеральный округ;2000;9007.7;-117100.1;-73863.14
Республика Бурятия;2000;996.9;-9969;-6380.16
Республика Саха (Якутия);2000;957.5;-5745;-8809
Забайкальский край;2000;1178.8;-12966.8;-10727.08
Камчатский край;2000;366.4;-4763.2;-5239.52
Приморский край;2000;2120.5;-33928;-9330.2
Хабаровский край ;2000;1459.9;-13139.1;-5547.62
Амурская область;2000;923;-11999;-8399.3
Магаданская область;2000;193.9;-6786.5;-7445.76
Сахалинская область;2000;560.1;-7841.4;-6777.21
Еврейская автономная область;2000;193.2;-1352.4;-1004.64
Чукотский автономный округ;2000;57.5;-2242.5;-4048
Центральный федеральный округ;2001;38068.5;-114205.5;258865.8
Белгородская область;2001;1508.1;3016.2;13120.47
Брянская область;2001;1391.4;-16696.8;-2504.52
Владимирская область;2001;1539.2;-18470.4;-923.52
Воронежская область;2001;2397.1;-21573.9;479.42
Ивановская область;2001;1161.9;-17428.5;-1975.23
Калужская область;2001;1049.6;-10496;209.92
Костромская область;2001;743.9;-9670.7;-1636.58
Курская область;2001;1248.6;-17480.4;-4744.68
Липецкая область;2001;1220.5;-9764;3539.45
Московская область;2001;6609.2;6609.2;62126.48
Орловская область;2001;867.6;-9543.6;-433.8
Рязанская область;2001;1241;-17374;-2233.8
Смоленская область;2001;1063.3;-17012.8;-4891.18
Тамбовская область;2001;1193.4;-19094.4;-6921.72
Тверская область;2001;1491.4;-25353.8;-5667.32
Тульская область;2001;1694;-23716;-1355.2
Ярославская область;2001;1378.4;-13784;689.2
г. Москва;2001;10269.9;112968.9;216694.89
Северо-Западный  федеральный округ;2001;14073;-126657;-2814.6
