Субъект РФ;Год;Инвестиции в основной капитал (млн. руб.);Основные фонды в экономике (млн. руб.);Ввод в действие основных фондов (млн. руб.)
Центральный федеральный округ;2000;303918;4358855;225413
Белгородская область;2000;9242;154391;7614
Брянская область;2000;2808;123603;2673
Владимирская область;2000;4852;135800;4184
Воронежская область;2000;8262;235504;8389
Ивановская область;2000;2058;84587;1558
Калужская область;2000;5293;110400;3356
Костромская область;2000;4636;90668;2609
Курская область;2000;5425;137988;3306
Липецкая область;2000;6265;139471;4694
Московская область;2000;50729;685595;35280
Орловская область;2000;4881;71243;4296
Рязанская область;2000;6162;122622;4032
Смоленская область;2000;6701;138150;2837
Тамбовская область;2000;2527;127462;2802
Тверская область;2000;9555;188672;5497
Тульская область;2000;10197;168150;5752
Ярославская область;2000;8112;199812;7380
г. Москва;2000;156215;1444737;119154
Северо-Западный федеральный округ;2000;116663;1789585;84122
Республика Карелия;2000;6396;103488;3882
Республика Коми;2000;17098;227521;11836
Архангельская область;2000;10471;222595;8238
в том числе: ;2000;0;0;0
Ненецкий автономный округ;2000;3828;17761;830
Архангельская область без автономного округа;2000;0;0;0
Вологодская область;2000;8593;162550;5799
Калининградская область;2000;4571;80300;3611
Ленинградская область;2000;19241;238689;10293
Мурманская область;2000;7190;154603;5551
Новгородская область;2000;4767;71251;3061
Псковская область;2000;2446;80780;1999
г. Санкт-Петербург;2000;35891;447808;29852
Южный             федеральный округ;2000;108941;1256163;65622
Республика Адыгея;2000;1264;49258;1231
Республика Калмыкия;2000;6628;24220;855
Республика Крым;2000;0;0;0
Краснодарский край;2000;54734;516894;32479
Астраханская область;2000;12438;110982;6268
Волгоградская область;2000;11516;227818;12391
Ростовская область;2000;22361;326991;12398
г. Севастополь;2000;0;0;0
Северо-Кавказский        федеральный округ;2000;25964;538669;43560
Республика Дагестан;2000;3479;176853;31770
Республика Ингушетия;2000;952;5739;281
Кабардино-Балкарская Республика;2000;2404;51765;1274
Карачаево-Черкесская Республика;2000;637;33788;921
Республика Северная Осетия - Алания;2000;1656;46347;1495
Чеченская Республика;2000;971;0;0
Ставропольский край;2000;15865;224177;7819
Приволжский федеральный округ;2000;206781;3570321;155996
Республика Башкортостан;2000;35497;432691;22150
Республика Марий Эл;2000;1706;102150;1782
Республика Мордовия;2000;3066;82806;2268
Республика Татарстан;2000;44716;503844;29953
Удмуртская Республика;2000;9904;184560;7258
Чувашская Республика;2000;4940;122892;5155
Пермский край;2000;27516;350217;14558
Кировская область;2000;4275;157730;5241
Нижегородская область ;2000;15383;310779;12771
Оренбургская область;2000;15005;246421;9564
Пензенская область;2000;3956;135183;3652
Самарская область;2000;23125;513679;23678
Саратовская область;2000;13506;292971;14822
Ульяновская область;2000;4187;134398;3144
Уральский         федеральный округ;2000;250731;2495342;143915
Курганская область;2000;2522;105205;2797
Свердловская область ;2000;25895;607927;21594
Тюменская область;2000;200065;1350459;103378
в том числе:;2000;0;0;0
Ханты-Мансийский автономный округ - Югра;2000;107173;865096;69546
Ямало-Ненецкий автономный округ;2000;82458;298875;20178
Тюменская область  без автономных округов;2000;0;0;0
Челябинская область;2000;22250;431751;16146
Сибирский        федеральный округ;2000;88359;2310955;80784
Республика Алтай;2000;615;15372;732
Республика Тыва;2000;282;15831;421
Республика Хакасия;2000;1812;64529;1922
Алтайский край;2000;6731;203441;7425
Красноярский край;2000;25457;406756;17493
Иркутская область;2000;10814;366685;10996
Кемеровская область;2000;17380;332002;15596
Новосибирская область ;2000;10805;320944;10087
Омская область;2000;5160;191993;4650
Томская область;2000;9304;161121;6370
Дальневосточный федеральный округ;2000;63877;1144282;43966
Республика Бурятия;2000;3477;107029;2829
Республика Саха (Якутия);2000;15809;227793;11750
Забайкальский край;2000;6810;125252;2263
Камчатский край;2000;3546;63975;1984
Приморский край;2000;7332;180681;7642
Хабаровский край ;2000;11605;309666;12216
Амурская область;2000;4051;165136;3020
Магаданская область;2000;2138;48680;1517
Сахалинская область;2000;8067;106273;4771
Еврейская автономная область;2000;340;23185;418
Чукотский автономный округ;2000;701;18893;648
Центральный федеральный округ;2001;349311.9154;5199581;301764
Белгородская область;2001;14030.6083;173840;10942
Брянская область;2001;3467.055;136129;3307
Владимирская область;2001;6224.2065;142385;4985
Воронежская область;2001;10408.673;266997;7812
Ивановская область;2001;2470.043;92689;2304
Калужская область;2001;6355.591;115358;4295
Костромская область;2001;4843.257;98339;2030
Курская область;2001;6646.22;148962;4396
Липецкая область;2001;8409.632;174366;6037
Московская область;2001;52701.152;811641;46892
Орловская область;2001;5140.881;82571;4450
Рязанская область;2001;9873.159;148106;5035
Смоленская область;2001;9071.681;157110;5450
Тамбовская область;2001;3772.29;158862;3159
Тверская область;2001;10687.407;209654;7322
Тульская область;2001;7870.916;197921;8187
Ярославская область;2001;13500.351;243393;8639
г. Москва;2001;173838.822;1841258;166522
Северо-Западный федеральный округ;2001;168113.6385;2083416;108236
Республика Карелия;2001;8362.17;123308;3995
Республика Коми;2001;21696.527;307401;17105
Архангельская область;2001;15113.6788;205633;8497
в том числе: ;2001;0;0;0
Ненецкий автономный округ;2001;6990.06;19456;1493
Архангельская область без автономного округа;2001;0;0;0
Вологодская область;2001;10332.7018;186999;9300
Калининградская область;2001;5742.815;89251;5254
Ленинградская область;2001;32273.437;283083;15273
Мурманская область;2001;10677.6314;187777;6966
Новгородская область;2001;7955.5783;77150;3402
Псковская область;2001;2790.5362;90537;3544
г. Санкт-Петербург;2001;53168.621;532277;34900
Южный             федеральный округ;2001;130498.4788;1495386;87421
Республика Адыгея;2001;1509.83;50819;1841
Республика Калмыкия;2001;4781.556;28812;1543
Республика Крым;2001;0;0;0
Краснодарский край;2001;63394.639;576533;35089
Астраханская область;2001;15615.905;158920;6131
Волгоградская область;2001;16320.114;279884;16924
Ростовская область;2001;28876.4348;400418;25893
г. Севастополь;2001;0;0;0
Северо-Кавказский        федеральный округ;2001;37100.0168;624186;21171
Республика Дагестан;2001;8088.826;188752;5911
Республика Ингушетия;2001;1548.092;7313;451
Кабардино-Балкарская Республика;2001;3496.5558;54237;1623
Карачаево-Черкесская Республика;2001;1748.757;41419;1270
Республика Северная Осетия - Алания;2001;2265.597;54197;1311
Чеченская Республика;2001;3330.6;0;0
Ставропольский край;2001;16621.589;278268;10605
Приволжский федеральный округ;2001;267844.612;4254707;217389
Республика Башкортостан;2001;47038.661;511544;33648
Республика Марий Эл;2001;1944.7157;88632;1684
Республика Мордовия;2001;5299.168;105478;5296
Республика Татарстан;2001;56384.949;564012;43181
Удмуртская Республика;2001;13602.8307;220659;12818
Чувашская Республика;2001;6224.8663;162316;8330
Пермский край;2001;37976.617;518656;26538
Кировская область;2001;4875.429;174541;4080
Нижегородская область ;2001;18217.981;359901;16171
Оренбургская область;2001;18228.897;322727;15677
Пензенская область;2001;6107.306;148470;4965
Самарская область;2001;32540.726;584694;29659
Саратовская область;2001;14397.842;330279;11096
