Субъекты РФ;Год;Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Добыча полезных ископаемых (млн. руб.);Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Обрабатывающие производства (млн. руб.);Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Производство и распределение электроэнергии, газа и воды (млн. руб.);"Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений (млн. руб.)"
Центральный федеральный округ;2005;76390;2587948;492032;
Белгородская область;2005;40390;101734;14706;
Брянская область;2005;136;36954;7848;
Владимирская область;2005;552;81952;12290;
Воронежская область;2005;988;76779;16246;
Ивановская область;2005;247;27398;11568;
Калужская область;2005;928;55376;12331;
Костромская область;2005;91;24827;13621;
Курская область;2005;21015;35524;23212;
Липецкая область;2005;1203;180855;16893;
Московская область;2005;3784;523215;91538;
Орловская область;2005;71;34782;8135;
Рязанская область;2005;616;53929;16108;
Смоленская область;2005;620;51398;23392;
Тамбовская область;2005;55.6;23070;6506;
Тверская область;2005;225;59322;22640;
Тульская область;2005;955;125102;18988;
Ярославская область;2005;372;93471;17189;
г. Москва;2005;4141;1002261;158824;
Северо-Западный федеральный округ;2005;187829;1096474;191670;
Республика Карелия;2005;20228;31303;9108;
Республика Коми;2005;78788;70478;16074;
Архангельская область;2005;43465;64488;14522;
в том числе: ;2005;0;0;0;
Ненецкий автономный округ;2005;41898;345;500;
Архангельская область без автономного округа;2005;1567;64143;14022;
Вологодская область;2005;163;213085;17218;
Калининградская область;2005;12487;61613;7612;
Ленинградская область;2005;4130;162570;31720;
Мурманская область;2005;27036;45558;23278;
Новгородская область;2005;181;52412;7545;
Псковская область;2005;92.3;22475;5045;
г. Санкт-Петербург;2005;1261;372491;59549;
Южный             федеральный округ;2005;45331;520501;108868;
Республика Адыгея;2005;568;5480;1935;
Республика Калмыкия;2005;1062;396;1312;
Республика Крым;2005;0;0;0;
Краснодарский край;2005;10226;139321;35416;
Астраханская область;2005;9504;21550;9869;
Волгоградская область;2005;16004;190585;25610;
Ростовская область;2005;7968;163170;34726;
г. Севастополь;2005;0;0;0;
Северо-Кавказский        федеральный округ;2005;8686;91706;50922;
Республика Дагестан;2005;2680;10546;4411;
Республика Ингушетия;2005;643;189;227;
Кабардино-Балкарская Республика;2005;74.4;9110;2854;
Карачаево-Черкесская Республика;2005;543;7490;3317;
Республика Северная Осетия - Алания;2005;145;14035;2593;
Чеченская Республика;2005;0;0;0;
Ставропольский край;2005;4601;50335;37521;
Приволжский федеральный округ;2005;531234;2120016;378245;
Республика Башкортостан;2005;66864;366255;35435;
Республика Марий Эл;2005;79.7;20157;5575;
Республика Мордовия;2005;63;39544;7639;
Республика Татарстан;2005;197226;261113;41495;
Удмуртская Республика;2005;46128;69373;12959;
Чувашская Республика;2005;180;48071;11524;
Пермский край;2005;60873;274132;66146;
Кировская область;2005;208;51029;14548;
Нижегородская область ;2005;346;334850;37885;
Оренбургская область;2005;89821;105243;33304;
Пензенская область;2005;740;37202;9751;
Самарская область;2005;55566;376301;55790;
Саратовская область;2005;10075;78374;34637;
Ульяновская область;2005;3064;58372;11558;
Уральский         федеральный округ;2005;1698324;1193848;212640;
Курганская область;2005;306;24593;7921;
Свердловская область ;2005;34106;470694;61591;
Тюменская область;2005;1656325;300769;108962;
в том числе:;2005;0;0;0;
Ханты-Мансийский автономный округ - Югра;2005;1285302;45961;81425;
Ямало-Ненецкий автономный округ;2005;364787;27073;13366;
Тюменская область  без автономных округов;2005;6237;227735;14171;
Челябинская область;2005;7587;397792;34165;
Сибирский        федеральный округ;2005;317887;1130859;240201;
Республика Алтай;2005;283;460;609;
Республика Тыва;2005;6364;18997;12478;
Республика Хакасия;2005;1014;427;795;
Алтайский край;2005;6770;22819;7883;
Красноярский край;2005;461;70382;21777;
Иркутская область;2005;8994;5136;10891;
Кемеровская область;2005;26470;303894;42463;
Новосибирская область ;2005;17106;158265;29019;
Омская область;2005;161231;185574;44851;
Томская область;2005;13369;93955;36436;
Дальневосточный федеральный округ;2005;3813;224305;19231;
Республика Бурятия;2005;72011;46645;13769;
Республика Саха (Якутия);2005;196777;130623;104935;
Забайкальский край;2005;112305;14066;18410;
Камчатский край;2005;2556;8628;9663;
Приморский край;2005;6489;36366;25973;
Хабаровский край ;2005;13917;45204;21087;
Амурская область;2005;7942;8640;15233;
Магаданская область;2005;14883;2748;3979;
Сахалинская область;2005;35817;11802;6840;
Еврейская автономная область;2005;220;2326;817;
Чукотский автономный округ;2005;2648;843;2931;
Центральный федеральный округ;2006;184869;3428776;697105;
Белгородская область;2006;41102;136649;17033;
Брянская область;2006;142;46796;8145;
Владимирская область;2006;750;99361;15453;
Воронежская область;2006;1477;89883;20880;
Ивановская область;2006;364;33667;14348;
Калужская область;2006;1170;67938;9113;
Костромская область;2006;91.4;34066;16135;
Курская область;2006;21934;43204;25353;
Липецкая область;2006;1972;219488;14347;
Московская область;2006;5215;625949;105960;
Орловская область;2006;66.6;40798;6887;
Рязанская область;2006;688;65181;19137;
Смоленская область;2006;685;58954;26771;
Тамбовская область;2006;34.5;26668;6834;
Тверская область;2006;469;73050;32759;
Тульская область;2006;1265;144827;23576;
Ярославская область;2006;368;102701;19541;
г. Москва;2006;107079;1519597;314834;
Северо-Западный федеральный округ;2006;214479;1309058;213953;
Республика Карелия;2006;17315;36610;10087;
Республика Коми;2006;95499;82225;23098;
Архангельская область;2006;51683;58912;20795;
в том числе: ;2006;0;0;0;
Ненецкий автономный округ;2006;50636;427;668;
Архангельская область без автономного округа;2006;1047;58485;20127;
Вологодская область;2006;207;236960;20246;
Калининградская область;2006;12829;106265;9285;
Ленинградская область;2006;5912;205677;36580;
Мурманская область;2006;29477;54700;23039;
Новгородская область;2006;245;59270;8397;
Псковская область;2006;137;26226;5657;
г. Санкт-Петербург;2006;1176;442213;56769;
Южный             федеральный округ;2006;56939;633118;121567;
Республика Адыгея;2006;603;6366;1899;
Республика Калмыкия;2006;819;472;1414;
Республика Крым;2006;0;0;0;
Краснодарский край;2006;13610;178197;39048;
Астраханская область;2006;13371;24040;8155;
Волгоградская область;2006;18701;232831;28490;
Ростовская область;2006;9835;191212;42561;
г. Севастополь;2006;0;0;0;
Северо-Кавказский        федеральный округ;2006;10607;105976;49189;
Республика Дагестан;2006;2331;11856;5111;
Республика Ингушетия;2006;560;328;351;
Кабардино-Балкарская Республика;2006;94.3;9818;3459;
Карачаево-Черкесская Республика;2006;822;7171;3434;
Республика Северная Осетия - Алания;2006;360;17056;3769;
Чеченская Республика;2006;0;0;0;
Ставропольский край;2006;6440;59747;33065;
Приволжский федеральный округ;2006;668803;2582668;426364;
Республика Башкортостан;2006;88648;413858;49242;
Республика Марий Эл;2006;107;29078;6167;
Республика Мордовия;2006;59.7;48727;8879;
Республика Татарстан;2006;203086;364382;44887;
Удмуртская Республика;2006;55195;88026;16729;
Чувашская Республика;2006;196;59885;14212;
Пермский край;2006;72368;311569;57812;
Кировская область;2006;216;62154;19273;
Нижегородская область ;2006;523;424301;42565;
Оренбургская область;2006;162966;118693;41118;
Пензенская область;2006;897;44192;11848;
Самарская область;2006;70031;454157;55316;
Саратовская область;2006;11071;92991;45177;
Ульяновская область;2006;3441;70656;13139;
Уральский         федеральный округ;2006;2026807;1549378;278692;
Курганская область;2006;511;32589;8546;
Свердловская область ;2006;37894;602507;83638;
Тюменская область;2006;1978788;416889;141491;
в том числе:;2006;0;0;0;
Ханты-Мансийский автономный округ - Югра;2006;1511714;64709;105267;
Ямало-Ненецкий автономный округ;2006;459580;34582;19192;
Тюменская область  без автономных округов;2006;7494;317598;17032;
Челябинская область;2006;9613;497392;45017;
Сибирский        федеральный округ;2006;328836;1432347;288657;
Республика Алтай;2006;320;762;929;
Республика Тыва;2006;5792;19963;12889;
Республика Хакасия;2006;1248;606;860;
Алтайский край;2006;8230;30418;10797;
Красноярский край;2006;969;91823;23693;
Иркутская область;2006;10820;6870;11848;
Кемеровская область;2006;29105;429588;56565;
Новосибирская область ;2006;19153;205757;40306;
Омская область;2006;160620;205389;51030;
Томская область;2006;15782;123037;42562;
Дальневосточный федеральный округ;2006;5402;254951;21122;
Республика Бурятия;2006;71393;63182;16054;
Республика Саха (Якутия);2006;229548;144054;123161;
Забайкальский край;2006;119451;10965;22007;
Камчатский край;2006;2687;8659;12224;
