Субъект РФ;Год;Продукция сельского хозяйства (млн. руб.)
Центральный федеральный округ;2000;169086.455
Белгородская область;2000;15109.24
Брянская область;2000;9308.299
Владимирская область;2000;7201.902
Воронежская область;2000;18073.363
Ивановская область;2000;4205.728
Калужская область;2000;6216.355
Костромская область;2000;5082.703
Курская область;2000;12479.567
Липецкая область;2000;10015.165
Московская область;2000;23737.296
Орловская область;2000;9018.921
Рязанская область;2000;9700.559
Смоленская область;2000;5535.743
Тамбовская область;2000;8797.859
Тверская область;2000;8069.647
Тульская область;2000;9678.958
Ярославская область;2000;6855.15
г. Москва;2000;0
Северо-Западный федеральный округ;2000;44260.536
Республика Карелия;2000;1527.133
Республика Коми;2000;2556.144
Архангельская область;2000;4524.84
в том числе: ;2000;0
Ненецкий автономный округ;2000;161.352
Архангельская область без автономного округа;2000;0
Вологодская область;2000;8717.946
Калининградская область;2000;3420.843
Ленинградская область;2000;13748.954
Мурманская область;2000;1078.51
Новгородская область;2000;3863.775
Псковская область;2000;4822.391
г. Санкт-Петербург;2000;0
Южный             федеральный округ;2000;97141.304
Республика Адыгея;2000;2155.824
Республика Калмыкия;2000;1289.384
Республика Крым;2000;0
Краснодарский край;2000;46699.307
Астраханская область;2000;2990.524
Волгоградская область;2000;16476.577
Ростовская область;2000;27529.688
г. Севастополь;2000;0
Северо-Кавказский        федеральный округ;2000;41867.333
Республика Дагестан;2000;8171.348
Республика Ингушетия;2000;813.52
Кабардино-Балкарская Республика;2000;7749.581
Карачаево-Черкесская Республика;2000;3017.066
Республика Северная Осетия - Алания;2000;2728.516
Чеченская Республика;2000;0
Ставропольский край;2000;19387.302
Приволжский федеральный округ;2000;198050.901
Республика Башкортостан;2000;27552.066
Республика Марий Эл;2000;5021.237
Республика Мордовия;2000;8618.256
Республика Татарстан;2000;30648.936
Удмуртская Республика;2000;9963.168
Чувашская Республика;2000;8317.78
Пермский край;2000;14006.163
Кировская область;2000;10920.242
Нижегородская область ;2000;14556.022
Оренбургская область;2000;19368.499
Пензенская область;2000;7642.29
Самарская область;2000;15744.78
Саратовская область;2000;18545.775
