Субъект РФ;Год;Ввод в действие жилых домов (всего тыс. кв.м. общей площади жилых помещений)
Центральный федеральный округ;2000;10180.1
Белгородская область;2000;703.7
Брянская область;2000;225.3
Владимирская область;2000;280.6
Воронежская область;2000;568.7
Ивановская область;2000;105.5
Калужская область;2000;178.4
Костромская область;2000;157.1
Курская область;2000;175.7
Липецкая область;2000;321.2
Московская область;2000;2610.9
Орловская область;2000;245.1
Рязанская область;2000;255.3
Смоленская область;2000;169.6
Тамбовская область;2000;241.1
Тверская область;2000;217.7
Тульская область;2000;251.1
Ярославская область;2000;130.9
г. Москва;2000;3342.3
Северо-Западный федеральный округ;2000;2450.5
Республика Карелия;2000;62.5
Республика Коми;2000;262.7
Архангельская область;2000;77.8
в том числе: ;2000;0
Ненецкий автономный округ;2000;12.2
Архангельская область без автономного округа;2000;65.6
Вологодская область;2000;204.5
Калининградская область;2000;171.8
Ленинградская область;2000;391.5
Мурманская область;2000;27.9
Новгородская область;2000;89
Псковская область;2000;81.8
г. Санкт-Петербург;2000;1080.9
Южный             федеральный округ;2000;3337.4
Республика Адыгея;2000;67.8
Республика Калмыкия;2000;36.8
Республика Крым;2000;0
Краснодарский край;2000;1391.6
Астраханская область;2000;484.9
Волгоградская область;2000;400.5
Ростовская область;2000;955.8
г. Севастополь;2000;0
Северо-Кавказский        федеральный округ;2000;1493.1
Республика Дагестан;2000;433.1
Республика Ингушетия;2000;14.6
Кабардино-Балкарская Республика;2000;192.6
Карачаево-Черкесская Республика;2000;50.2
Республика Северная Осетия - Алания;2000;134.5
Чеченская Республика;2000;0
Ставропольский край;2000;668.1
Приволжский федеральный округ;2000;6934.1
Республика Башкортостан;2000;1254.9
Республика Марий Эл;2000;120.2
Республика Мордовия;2000;182.1
Республика Татарстан;2000;1502.6
Удмуртская Республика;2000;257
Чувашская Республика;2000;502.3
Пермский край;2000;330.2
Кировская область;2000;221
Нижегородская область ;2000;577
Оренбургская область;2000;385.2
Пензенская область;2000;223.4
Самарская область;2000;691.2
Саратовская область;2000;472.5
Ульяновская область;2000;214.2
Уральский         федеральный округ;2000;2264.8
Курганская область;2000;73.2
Свердловская область ;2000;616.7
Тюменская область;2000;905.8
в том числе:;2000;0
Ханты-Мансийский автономный округ - Югра;2000;355.2
Ямало-Ненецкий автономный округ;2000;96.8
Тюменская область  без автономных округов;2000;453.8
