Субъект РФ;Год;Оборот розничной торговли (млн. руб.);Объем платных услуг населению (млн. руб.)
Центральный федеральный округ;2000;995587.3471;251462.1499
Белгородская область;2000;17781.095;3162.1023
Брянская область;2000;11703.075;3536.4984
Владимирская область;2000;11660.1123;3095.3137
Воронежская область;2000;28482.6892;4936.1326
Ивановская область;2000;7935.656;2682.0212
Калужская область;2000;9292.642;2320.8098
Костромская область;2000;6921.2122;1262.5622
Курская область;2000;13086.509;2074.8653
Липецкая область;2000;16404.324;2736.1178
Московская область;2000;96770.4664;25454.439
Орловская область;2000;9536.4805;1664.6386
Рязанская область;2000;11192.826;2171.9589
Смоленская область;2000;14887.509;2495.2332
Тамбовская область;2000;13795.0936;2614.5465
Тверская область;2000;14533.4097;2822.2033
Тульская область;2000;15022.1492;3802.2379
Ярославская область;2000;14143.437;3906.204
г. Москва;2000;682438.661;180724.2652
Северо-Западный федеральный округ;2000;212612.407;58468.2733
Республика Карелия;2000;10077.142;2237.1056
Республика Коми;2000;19265.082;3632.0347
Архангельская область;2000;16342.338;3870.9138
в том числе: ;2000;0;0
Ненецкий автономный округ;2000;535.939;84.4292
Архангельская область без автономного округа;2000;0;0
Вологодская область;2000;13811.24;3796.8128
Калининградская область;2000;13006.563;3002.0867
Ленинградская область;2000;15854.204;3169.5418
Мурманская область;2000;20489.454;4304.3079
Новгородская область;2000;9257.112;2016.6152
Псковская область;2000;8016.737;1535.742
г. Санкт-Петербург;2000;86492.535;30903.1128
Южный             федеральный округ;2000;169508.8034;42907.9242
Республика Адыгея;2000;4353.0293;768.078
Республика Калмыкия;2000;1490.883;361.1573
Республика Крым;2000;0;0
Краснодарский край;2000;62145.229;19157.8992
Астраханская область;2000;10993.256;2955.3203
Волгоградская область;2000;29937.8061;7242.5277
Ростовская область;2000;60588.6;12422.9417
г. Севастополь;2000;0;0
Северо-Кавказский        федеральный округ;2000;61699.1421;18259.1429
Республика Дагестан;2000;13850.336;2320.5644
Республика Ингушетия;2000;1165.514;271.7593
Кабардино-Балкарская Республика;2000;6400.14;1794.4715
Карачаево-Черкесская Республика;2000;3372.3071;718.8446
