Субъект РФ ;Год;Грузооборот автомобильного транспорта организаций всех видов деятельности (млн. т.-км.);Пассажирооборот автобусов общего пользования (млн. пассажиро-км.)
Центральный федеральный округ;2000;19932;46475
Белгородская область;2000;1435;2626
Брянская область;2000;866;1595
Владимирская область;2000;860;1322
Воронежская область;2000;1741;3507
Ивановская область;2000;395;1120
Калужская область;2000;580;1446
Костромская область;2000;701;1301
Курская область;2000;728;1163
Липецкая область;2000;1025;3708
Московская область;2000;3666;7688
Орловская область;2000;831;1453
Рязанская область;2000;792;1947
Смоленская область;2000;800;910
Тамбовская область;2000;350;1885
Тверская область;2000;914;2498
Тульская область;2000;850;2024
Ярославская область;2000;984;1845
г. Москва;2000;2414;8436
Северо-Западный федеральный округ;2000;12892;22324
Республика Карелия;2000;1032;810
Республика Коми;2000;1133;1469
Архангельская область;2000;1147;1117
в том числе: ;2000;0;0
Ненецкий автономный округ;2000;16;20
Архангельская область без автономного округа;2000;1131;1098
Вологодская область;2000;2765;1553
Калининградская область;2000;279;684
Ленинградская область;2000;1272;2024
Мурманская область;2000;472;2027
Новгородская область;2000;1046;2071
Псковская область;2000;1847;1687
г. Санкт-Петербург;2000;1899;8881
Южный             федеральный округ;2000;10037;13298
Республика Адыгея;2000;343;253
Республика Калмыкия;2000;275;86
Республика Крым;2000;0;0
Краснодарский край;2000;4478;4387
Астраханская область;2000;331;559
Волгоградская область;2000;1147;2572
Ростовская область;2000;3463;5441
г. Севастополь;2000;0;0
Северо-Кавказский        федеральный округ;2000;2698;5006
Республика Дагестан;2000;810;1080
Республика Ингушетия;2000;47;212
Кабардино-Балкарская Республика;2000;236;769
Карачаево-Черкесская Республика;2000;134;169
Республика Северная Осетия - Алания;2000;168;742
Чеченская Республика;2000;0;0
Ставропольский край;2000;1303;2035
Приволжский федеральный округ;2000;26359;46475
Республика Башкортостан;2000;3419;4063
Республика Марий Эл;2000;566;1647
Республика Мордовия;2000;670;607
Республика Татарстан;2000;4412;6137
Удмуртская Республика;2000;1296;1776
Чувашская Республика;2000;627;3180
Пермский край;2000;4603;4394
Кировская область;2000;1544;2014
Нижегородская область ;2000;2091;8222
Оренбургская область;2000;2099;2391
Пензенская область;2000;436;1462
Самарская область;2000;2549;5222
Саратовская область;2000;975;3641
Ульяновская область;2000;1072;1719
Уральский         федеральный округ;2000;9930;16174
Курганская область;2000;704;1801
Свердловская область ;2000;2335;5164
Тюменская область;2000;4620;4637
в том числе:;2000;0;0
Ханты-Мансийский автономный округ - Югра;2000;2695;2136
Ямало-Ненецкий автономный округ;2000;1008;391
Тюменская область  без автономных округов;2000;917;2110
Челябинская область;2000;2271;4573
Сибирский        федеральный округ;2000;12885;17950
Республика Алтай;2000;148;95
Республика Тыва;2000;164;261
Республика Хакасия;2000;621;442
