Субъект РФ;Год;Среднегодовая численность занятых (тыс. чел);Численность безработных (тыс. чел);Численность незанятых граждан, состоящих на учете в органах службы занятости населения в целях поиска подходящей работы (тыс. чел)
Центральный федеральный округ;2000;17721.3;1516;260.4
Белгородская область;2000;671.3;45;6.7
Брянская область;2000;593.7;89;14.7
Владимирская область;2000;724.6;95;23.1
Воронежская область;2000;1090.9;119;16.2
Ивановская область;2000;491.2;61;9.7
Калужская область;2000;488.7;49;4.8
Костромская область;2000;332.6;33;5.3
Курская область;2000;616.6;66;6.8
Липецкая область;2000;572.8;52;5.1
Московская область;2000;2444.5;284;48.6
Орловская область;2000;414.7;38;4.3
Рязанская область;2000;539.5;58;5.2
Смоленская область;2000;473.9;67;5.4
Тамбовская область;2000;516.9;48;13.6
Тверская область;2000;643;69;5.9
Тульская область;2000;786.9;83;9.3
Ярославская область;2000;666.5;55;11.8
г. Москва;2000;5653.1;205;63.9
Северо-Западный федеральный округ;2000;6609.6;710;141
Республика Карелия;2000;343.1;43;11
Республика Коми;2000;459.9;66;16.7
Архангельская область;2000;594.4;90;17.4
в том числе: ;2000;0;0;0
Ненецкий автономный округ;2000;20.9;2;0.9
Архангельская область без автономного округа;2000;573.5;87;16.6
Вологодская область;2000;622.6;55;11.7
Калининградская область;2000;413.2;77;7.2
Ленинградская область;2000;710.6;82;12.5
Мурманская область;2000;432.9;73;20.4
Новгородская область;2000;318.1;28;3.9
Псковская область;2000;331.1;43;8.9
г. Санкт-Петербург;2000;2383.7;153;31.4
Южный             федеральный округ;2000;5764.7;870;57.4
Республика Адыгея;2000;156.8;29;2
Республика Калмыкия;2000;117.4;30;3
Республика Крым;2000;0;0;0
Краснодарский край;2000;2038.3;309;15.3
Астраханская область;2000;428.4;58;11.1
Волгоградская область;2000;1154.1;126;9.8
Ростовская область;2000;1869.7;319;16.1
г. Севастополь;2000;0;0;0
Северо-Кавказский        федеральный округ;2000;2646.1;668;86.6
Республика Дагестан;2000;816.2;255;48.9
Республика Ингушетия;2000;59.4;31;10
Кабардино-Балкарская Республика;2000;321.9;68;8.4
Карачаево-Черкесская Республика;2000;143.9;41;1.9
Республика Северная Осетия - Алания;2000;242.2;96;7.6
Чеченская Республика;2000;…;…;…
Ставропольский край;2000;1062.5;178;9.8
Приволжский федеральный округ;2000;14209.9;1543;247.3
Республика Башкортостан;2000;1746.2;228;23.3
Республика Марий Эл;2000;332.4;44;8.4
Республика Мордовия;2000;402.8;47;10.1
