Субъект РФ;Год;Численность пенсионеров (тыс. чел);Среднедушевые денежные доходы населения (в месяц, руб.);Среднемесячная номинальная заработная плата работников организаций (руб.);Средний размер назначенных пенсий
Центральный федеральный округ;2000;10784;3231;2173;510
Белгородская область;2000;443;1555;1717;491
Брянская область;2000;444;1312;1213.1;533
Владимирская область;2000;471;1280;1573.4;512
Воронежская область;2000;764;1486;1376;493
Ивановская область;2000;360;1038;1184.3;513
Калужская область;2000;304;1311;1664.3;522
Костромская область;2000;226;1439;1508.3;507
Курская область;2000;406;1465;1453.6;477
Липецкая область;2000;367;1772;1880.8;493
Московская область;2000;1779;1824;2269.3;516
Орловская область;2000;270;1415;1535;512
Рязанская область;2000;415;1265;1462.4;494
Смоленская область;2000;328;1720;1656.4;504
Тамбовская область;2000;387;1509;1234.5;490
Тверская область;2000;478;1254;1574.5;513
Тульская область;2000;598;1486;1654.9;520
Ярославская область;2000;419;1804;1905.8;511
г. Москва;2000;2325;7998;3229.3;520
Северо-Западный федеральный округ;2000;2879;2269;2531.5;549
Республика Карелия;2000;215;2313;2559;560
Республика Коми;2000;274;3141;3558.6;611
Архангельская область;2000;402;2139;2621;573
в том числе: ;2000;0;0;0;0
Ненецкий автономный округ;2000;10;3426;5065.9;651
Архангельская область без автономного округа;2000;392;0;0;0
Вологодская область;2000;361;2023;2561.9;551
Калининградская область;2000;217;1843;1750.4;488
Ленинградская область;2000;463;1355;2178.8;511
Мурманская область;2000;234;3550;3746.9;642
Новгородская область;2000;219;1808;1742.5;511
Псковская область;2000;244;1375;1470.7;503
г. Санкт-Петербург;2000;1250;2556;2511.5;547
Южный             федеральный округ;2000;3807;1429;1586.8;489
Республика Адыгея;2000;125;1385;1302.5;481
Республика Калмыкия;2000;68;979;1220;491
Республика Крым;2000;0;0;0;0
Краснодарский край;2000;1369;1563;1697.6;490
Астраханская область;2000;238;1779;1898.7;484
Волгоградская область;2000;736;1578;1690.4;494
Ростовская область;2000;1271;1653;1360.5;487
г. Севастополь;2000;0;0;0;0
Северо-Кавказский        федеральный округ;2000;1805;0;1213;475
Республика Дагестан;2000;439;861;878.7;438
Республика Ингушетия;2000;56;587;1243.6;430
Кабардино-Балкарская Республика;2000;181;1057;1180.6;540.1
Карачаево-Черкесская Республика;2000;114;1040;1130.9;524
Республика Северная Осетия - Алания;2000;189;1473;1166.7;487
Чеченская Республика;2000;122;0;881.8;440
Ставропольский край;2000;704;1405;1438.4;482
Приволжский федеральный округ;2000;8386;1726;1783;501
Республика Башкортостан;2000;1030;1736;1932.9;507
Республика Марий Эл;2000;190;1068;1164.8;477
Республика Мордовия;2000;266;1128;1107.6;482
Республика Татарстан;2000;959;1813;2010.2;483
Удмуртская Республика;2000;391;1514;1741.5;519
Чувашская Республика;2000;344;1140;1196.2;474
Пермский край;2000;763;2401;2433.7;524
