Субъекты РФ;Год;Доходы консолидированных бюджетов субъектов российской федерации (млн. руб.);Расходы консолидированных бюджетов субъектов российской федерации (млн. руб.)
Центральный федеральный округ;2000;0;0
Белгородская область;2000;5396.8;5203.9
Брянская область;2000;4178;4152.3
Владимирская область;2000;4784.7;4626.4
Воронежская область;2000;6323.1;6598.7
Ивановская область;2000;3483.5;3321.1
Калужская область;2000;5190.4;5168.3
Костромская область;2000;2601.1;2637.3
Курская область;2000;4445;4331.3
Липецкая область;2000;8503.9;7602.5
Московская область;2000;35212.4;32872.8
Орловская область;2000;4480.5;4426.6
Рязанская область;2000;3953.5;3878.3
Смоленская область;2000;3822.6;3832
Тамбовская область;2000;3377.7;3272.4
Тверская область;2000;5451.4;5502.7
Тульская область;2000;6006.5;5772.6
Ярославская область;2000;6960;6719.2
г. Москва;2000;195851.5;173216.9
Северо-Западный федеральный округ;2000;0;0
Республика Карелия;2000;5483.8;5298.2
Республика Коми;2000;10345.1;10195.6
Архангельская область;2000;6617.8;6517.1
Вологодская область;2000;9536;9227.7
Калининградская область;2000;4418.4;4441
Ленинградская область;2000;9253.6;8804.6
Мурманская область;2000;6777.8;6673.2
Новгородская область;2000;3325.3;3267.7
Псковская область;2000;3232.6;3390.6
г. Санкт-Петербург;2000;37865.3;36228.3
Ненецкий автономный округ;2000;2168.1;1911.7
Южный               федеральный округ;2000;0;0
Республика Адыгея;2000;1397.6;1482.5
Республика Калмыкия;2000;1220.3;1246.3
Республика Крым;2000;0;0
Краснодарский край;2000;17006.1;16718.4
Астраханская область;2000;3919.1;3811.4
Волгоградская область;2000;9564.3;10260
Ростовская область;2000;12523.8;12428.4
г. Севастополь;2000;0;0
Северо-Кавказский      федеральный округ;2000;0;0
Республика Дагестан;2000;8789.6;8482.3
Республика Ингушетия;2000;2139.6;2113.9
Кабардино-Балкарская Республика;2000;3460.4;3671.6
Карачаево-Черкесская Республика;2000;1244.6;1213.6
Республика Северная   Осетия – Алания ;2000;2598.8;2582.3
Чеченская Республика;2000;5.5;5.4
Ставропольский край;2000;7586.6;7199.5
Приволжский    федеральный округ;2000;0;0
Республика Башкортостан;2000;42768.1;41342.4
Республика Марий Эл;2000;1971.7;2007.9
Республика Мордовия;2000;4536.1;4574.8
Республика Татарстан;2000;59164.8;58250.3
Удмуртская Республика;2000;9297.8;8963.3
Чувашская Республика;2000;3998.6;3962.9
Пермский край;2000;21183;20859.8
Кировская область;2000;5011.1;5198.1
Нижегородская область;2000;11674.8;12942.4
Оренбургская область;2000;11432.5;14149.1
Пензенская область;2000;3518.4;3395.6
Самарская область;2000;18555.8;17998.4
