Субъект РФ;Год;Индексы потребительских цен (декабрь к декабрю прошлого года в %);Индексы цен производителей промышленных товаров (декабрь к декабрю прошлого года в %)
Центральный федеральный округ;2000;120.7;0
Белгородская область;2000;120.9;124
Брянская область;2000;118.6;130.4
Владимирская область;2000;118.1;122.8
Воронежская область;2000;122.7;130.9
Ивановская область;2000;116.6;138.5
Калужская область;2000;118.6;135.4
Костромская область;2000;121.4;133.7
Курская область;2000;119.1;114.6
Липецкая область;2000;121.9;121.9
Московская область;2000;121.8;107.4
Орловская область;2000;119;118.9
Рязанская область;2000;118.1;130.2
Смоленская область;2000;122.5;121.2
Тамбовская область;2000;120.3;123.2
Тверская область;2000;121.9;130.7
Тульская область;2000;121.7;134.2
Ярославская область;2000;120.1;131.8
г. Москва;2000;122.1;126.4
Северо-Западный федеральный округ;2000;121;0
Республика Карелия;2000;119.3;120.5
Республика Коми;2000;119.8;125
Архангельская область;2000;121;121.6
в том числе: ;2000;0;0
Ненецкий автономный округ;2000;125.1;103.8
Архангельская область без автономного округа;2000;0;0
Вологодская область;2000;119.7;126.3
Калининградская область;2000;117.5;126.9
Ленинградская область;2000;123.5;137.4
Мурманская область;2000;121.9;117.3
Новгородская область;2000;120.5;138.7
Псковская область;2000;118.6;126.8
г. Санкт-Петербург;2000;123.5;124.8
Южный             федеральный округ;2000;117;0
Республика Адыгея;2000;119.9;142.4
Республика Калмыкия;2000;116.9;119.8
Республика Крым;2000;0;0
Краснодарский край;2000;118.2;131.5
Астраханская область;2000;116.6;125.3
Волгоградская область;2000;119.2;135.5
Ростовская область;2000;116.1;128
г. Севастополь;2000;0;0
Северо-Кавказский        федеральный округ;2000;0;0
Республика Дагестан;2000;112.2;136.1
Республика Ингушетия;2000;122.7;130
Кабардино-Балкарская Республика;2000;116.8;135
Карачаево-Черкесская Республика;2000;113.4;129.3
Республика Северная Осетия - Алания;2000;116.3;120.8
Чеченская Республика;2000;0;0
Ставропольский край;2000;118.8;156.9
Приволжский федеральный округ;2000;121.2;0
Республика Башкортостан;2000;121.6;156.3
Республика Марий Эл;2000;121.7;131.1
Республика Мордовия;2000;128;143.6
Республика Татарстан;2000;124.2;134.7
Удмуртская Республика;2000;122.2;126.4
Чувашская Республика;2000;126.2;131.7
Пермский край;2000;124.5;139.7
Кировская область;2000;122.6;128.5
Нижегородская область ;2000;121.7;124.3
Оренбургская область;2000;118.7;145
Пензенская область;2000;120.6;138.6
Самарская область;2000;119.9;128.4
Саратовская область;2000;119;129.4
Ульяновская область;2000;123.5;121.5
Уральский         федеральный округ;2000;122.2;0
Курганская область;2000;119.3;133.5
Свердловская область ;2000;123.9;133.9
Тюменская область;2000;120.8;158.9
в том числе:;2000;0;0
Ханты-Мансийский автономный округ - Югра;2000;121.3;160
Ямало-Ненецкий автономный округ;2000;118.7;159.4
Тюменская область  без автономных округов;2000;0;0
Челябинская область;2000;123.1;126
Сибирский        федеральный округ;2000;120.5;0
Республика Алтай;2000;123.6;127.6
Республика Тыва;2000;122.2;125.4
Республика Хакасия;2000;125;136.6
Алтайский край;2000;122.6;109.4
Красноярский край;2000;121.1;129
Иркутская область;2000;121.8;116.9
Кемеровская область;2000;120.3;106.4
Новосибирская область ;2000;122.7;123.8
Омская область;2000;121.3;141.7
Томская область;2000;119.2;137.1
Дальневосточный федеральный округ;2000;118.4;124.5
Республика Бурятия;2000;120.3;140.7
Республика Саха (Якутия);2000;117.4;0
Забайкальский край;2000;117.5;124.9
Камчатский край;2000;124.3;118.6
Приморский край;2000;119;124.1
Хабаровский край ;2000;119.9;122.6
Амурская область;2000;118;109.6
Магаданская область;2000;118.3;96.9
